"Date","Open.Price","High.Price","Low.Price","Close.Price","VWAP","Volume","Spread.High.Low","Spread.Close.Open","Twitter.Publication.Count","Twitter.Positive.Sentiment","Twitter.Negative.Sentiment.Count","Twitter.Neutral.Sentiment.Count","Twitter.Sentiment.Daily.Maximum","Twitter.Sentiment.Daily.Minimum","Twitter.Sentiment.Daily.Average","News.Heat...Daily.Average.Story.Flow","News.Sentiment...Daily.Average","News.Publication...Daily.Number.of.Stories","News.Heat...Daily.Max.Readership","News.Neutral.Sentiment.Count","News.Negative.Sentiment.Count","News.Positive.Sentiment.Count","News.Publication.Count"
"10-07-2015",994.65,1003.75,990.4,1001.55,999.4145508,327762,13.35,6.9,3,0,0,3,0,0,0,0.25,0.5175,22,0,10,4,9,108
"13-07-2015",1001,1012.25,995.4,1007.2,1004.54304,433427,16.85,6.2,2,0,0.333333333333333,1.66666666666667,0,-0.0356,-0.0202666666666667,0.263333333333333,0.237566666666667,22.3333333333333,0,6,1,1.33333333333333,43
"14-07-2015",1008.4,1011.45,995.25,997.6,1002.444675,301854,16.2,-10.8,6,1,1,3,0.1068,-0.1068,-0.0559,0.33,-0.0861,31,0,15,8,3,98
"15-07-2015",1000,1014,999,1011.4,1009.897062,495718,15,11.4,5,4,0,1,0.2039,0,0.4178,0.83,0.1835,63,0,20,4,13,126
"16-07-2015",1012.5,1027.5,1011.4,1023.65,1023.458694,511991,16.1,11.15,8,1,0,7,0.1068,0,0.0086,0.92,0.1533,64,1,18,6,9,160
"17-07-2015",1023,1031,1018,1022.15,1026.095351,405333,13,-0.85,5,2,0,3,0.1068,0,0.108,0.71,0,48,0,11,7,3,91
"20-07-2015",1026.1,1029.9,1018.1,1024.75,1024.125626,307533,11.8,-1.35,3.66666666666667,0.333333333333333,0,3.33333333333333,0.0356,0,0.00676666666666667,0.29,0.5712,28,0.333333333333333,7.66666666666667,3,9.66666666666667,48.3333333333333
"21-07-2015",1026.7,1028,1002.9,1007.5,1017.540628,262687,25.1,-19.2,4,0,0,4,0,0,0,0.71,0.0551,52,0,12,2,4,99
"22-07-2015",1007.3,1053.5,1005.15,1050.45,1040.639255,825916,48.35,43.15,3,1,0,1,0.1068,0,0.1178,1.63,0.6858,101,4,18,4,10,170
"23-07-2015",1055,1067,1041,1045.65,1051.252636,610364,26,-9.35,7,3,0,4,0.1068,0,0.2281,0.92,0.6828,56,3,13,4,16,122
"24-07-2015",1046.2,1050,1021.6,1025.05,1035.522023,290271,28.4,-21.15,23,7,6,10,0.4389,-0.1068,0.2932,2.17,0.5276,347,4,60,24,76,300
"27-07-2015",1027,1035,1001.3,1005.8,1016.563965,437703,33.7,-21.2,7.33333333333333,3.66666666666667,1,2.66666666666667,0.140766666666667,-0.0712,0.1986,0.946666666666667,0.5189,78.6666666666667,1.33333333333333,17,10.3333333333333,34.3333333333333,123.333333333333
"28-07-2015",1009.5,1016.75,1000.25,1009.95,1010.395477,323485,16.5,0.45,0,0,0,0,0,0,0,0.67,0.3914,49,3,11,4,13,100
"29-07-2015",1012,1012.45,992.2,995.45,1002.408191,240152,20.25,-16.55,5,1,0,4,0.1068,0,0.0159,1.75,0,144,2,27,11,7,139
"30-07-2015",1001.7,1008,993.05,999.3,1001.657562,299237,14.95,-2.4,2,1,0,1,0.1068,0,0.1137,1.29,0,63,1,12,1,5,107
"31-07-2015",1002,1007.9,990,1001.65,999.8965978,351772,17.9,-0.35,7,1,0,6,0.1068,0,0.0166,1.58,0.3582,136,0,30,3,23,157
"03-08-2015",1001.15,1013.2,998.2,1001.15,1004.492518,325060,15,0,2.66666666666667,0.333333333333333,0.333333333333333,2,0.0356,-0.0356,-0.00496666666666667,0.32,0.3904,22.3333333333333,0,6.66666666666667,1,6.66666666666667,49.6666666666667
